from,to,role,width
http://academic-meta-tool.xyz/vocab#4d4b312a-d9ce-4bb5-a450-961142bcbb83,http://academic-meta-tool.xyz/vocab#1357cb59-abda-470b-8174-06b466ef76e5,http://rgzm.de/samian/istMutterpunzeVon,0.9
http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://academic-meta-tool.xyz/vocab#7269a79d-0ae1-44f3-9a7a-3ebd33e74c8d,http://rgzm.de/samian/istMutterpunzeVon,0.9
http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/istMutterpunzeVon,0.9
http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://academic-meta-tool.xyz/vocab#ebdff5c2-4dcf-4615-99eb-89d31a34d7ff,http://rgzm.de/samian/istMutterpunzeVon,0.91
http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://academic-meta-tool.xyz/vocab#4d4b312a-d9ce-4bb5-a450-961142bcbb83,http://rgzm.de/samian/istMutterpunzeVon,0.9
http://academic-meta-tool.xyz/vocab#52d870b8-515b-4672-9244-a9d0e23e7dc9,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#c947518c-8d39-48d7-bdb4-33c63c8590ca,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#d0362cd7-bbac-46de-8dec-73cf65315252,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#f89d67a1-4896-4043-9e1a-928d181bb551,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#ebdff5c2-4dcf-4615-99eb-89d31a34d7ff,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#ebdff5c2-4dcf-4615-99eb-89d31a34d7ff,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#30c2033f-ad4c-4319-88f1-75ebae56e0a7,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#34f10438-fa28-4fe5-910a-bf8d5fcc5624,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#cc9a3e41-7d2d-4b67-b3fd-14f9507ac7e2,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#fac5a718-51da-4d6a-b59b-e5436d9c8f99,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#e5d94399-abf7-41b4-b252-a7959e6ae36b,http://academic-meta-tool.xyz/vocab#4d4b312a-d9ce-4bb5-a450-961142bcbb83,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#70b5a265-1bec-4fa2-8416-f828c2f8970f,http://academic-meta-tool.xyz/vocab#1357cb59-abda-470b-8174-06b466ef76e5,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#7269a79d-0ae1-44f3-9a7a-3ebd33e74c8d,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#7269a79d-0ae1-44f3-9a7a-3ebd33e74c8d,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#7269a79d-0ae1-44f3-9a7a-3ebd33e74c8d,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#7269a79d-0ae1-44f3-9a7a-3ebd33e74c8d,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#01afbda8-6436-4daa-ac39-7ee6d20866b9,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#e5d94399-abf7-41b4-b252-a7959e6ae36b,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#7db7c0fc-f7e4-43b9-8065-4179a932a94b,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#716dca9a-4d5a-4067-a9b5-af5f6274ff5e,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/isCreatorOf,1
http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://academic-meta-tool.xyz/vocab#1357cb59-abda-470b-8174-06b466ef76e5,http://rgzm.de/samian/istMutterpunzeVon,0.9
http://academic-meta-tool.xyz/vocab#52d870b8-515b-4672-9244-a9d0e23e7dc9,http://academic-meta-tool.xyz/vocab#c947518c-8d39-48d7-bdb4-33c63c8590ca,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#52d870b8-515b-4672-9244-a9d0e23e7dc9,http://academic-meta-tool.xyz/vocab#d0362cd7-bbac-46de-8dec-73cf65315252,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#52d870b8-515b-4672-9244-a9d0e23e7dc9,http://academic-meta-tool.xyz/vocab#f89d67a1-4896-4043-9e1a-928d181bb551,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#52d870b8-515b-4672-9244-a9d0e23e7dc9,http://academic-meta-tool.xyz/vocab#716dca9a-4d5a-4067-a9b5-af5f6274ff5e,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#c947518c-8d39-48d7-bdb4-33c63c8590ca,http://academic-meta-tool.xyz/vocab#d0362cd7-bbac-46de-8dec-73cf65315252,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#c947518c-8d39-48d7-bdb4-33c63c8590ca,http://academic-meta-tool.xyz/vocab#f89d67a1-4896-4043-9e1a-928d181bb551,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#d0362cd7-bbac-46de-8dec-73cf65315252,http://academic-meta-tool.xyz/vocab#f89d67a1-4896-4043-9e1a-928d181bb551,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#30c2033f-ad4c-4319-88f1-75ebae56e0a7,http://academic-meta-tool.xyz/vocab#34f10438-fa28-4fe5-910a-bf8d5fcc5624,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#30c2033f-ad4c-4319-88f1-75ebae56e0a7,http://academic-meta-tool.xyz/vocab#cc9a3e41-7d2d-4b67-b3fd-14f9507ac7e2,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#30c2033f-ad4c-4319-88f1-75ebae56e0a7,http://academic-meta-tool.xyz/vocab#fac5a718-51da-4d6a-b59b-e5436d9c8f99,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#34f10438-fa28-4fe5-910a-bf8d5fcc5624,http://academic-meta-tool.xyz/vocab#cc9a3e41-7d2d-4b67-b3fd-14f9507ac7e2,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#34f10438-fa28-4fe5-910a-bf8d5fcc5624,http://academic-meta-tool.xyz/vocab#fac5a718-51da-4d6a-b59b-e5436d9c8f99,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#cc9a3e41-7d2d-4b67-b3fd-14f9507ac7e2,http://academic-meta-tool.xyz/vocab#fac5a718-51da-4d6a-b59b-e5436d9c8f99,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#01afbda8-6436-4daa-ac39-7ee6d20866b9,http://academic-meta-tool.xyz/vocab#e5d94399-abf7-41b4-b252-a7959e6ae36b,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#716dca9a-4d5a-4067-a9b5-af5f6274ff5e,http://academic-meta-tool.xyz/vocab#c947518c-8d39-48d7-bdb4-33c63c8590ca,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#716dca9a-4d5a-4067-a9b5-af5f6274ff5e,http://academic-meta-tool.xyz/vocab#d0362cd7-bbac-46de-8dec-73cf65315252,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#716dca9a-4d5a-4067-a9b5-af5f6274ff5e,http://academic-meta-tool.xyz/vocab#f89d67a1-4896-4043-9e1a-928d181bb551,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/arbeitetInWerkstattVon,0.91
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#e2767b7e-3803-4546-9121-a58d7d370552,http://rgzm.de/samian/arbeitetInWerkstattVon,0.91
http://academic-meta-tool.xyz/vocab#e5d94399-abf7-41b4-b252-a7959e6ae36b,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#70b5a265-1bec-4fa2-8416-f828c2f8970f,http://academic-meta-tool.xyz/vocab#4d4b312a-d9ce-4bb5-a450-961142bcbb83,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#70b5a265-1bec-4fa2-8416-f828c2f8970f,http://academic-meta-tool.xyz/vocab#fc3f73cd-77c3-4cd6-bc74-c8ad13a32aeb,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#3c76bff9-f5ec-47ff-99f7-41f123db8779,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#7a55c951-27de-4123-ac33-1952c21177bd,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://academic-meta-tool.xyz/vocab#4ff4e784-17a7-46d9-acf9-5bf1f452dba6,http://rgzm.de/samian/arbeitetInWerkstattVon,0.9
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#96c986ac-2f6b-40fe-a711-da62a8b13845,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://academic-meta-tool.xyz/vocab#f45624c9-14eb-4f5c-8a45-54cc979c556c,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#0e3ab2f9-90a9-4197-ac76-5f37c1e7e3af,http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://rgzm.de/samian/isConnectedWith,1
http://academic-meta-tool.xyz/vocab#633f5509-bd7e-4ce9-955c-a521ba61e07f,http://academic-meta-tool.xyz/vocab#8fc3d895-a367-4f2c-8696-ba2e5d7daf76,http://rgzm.de/samian/isConnectedWith,1
